Date,Close,High,Low,Open,Volume
2015-01-02,24.21489143371582,24.682223683318185,23.7763515496625,24.67114878668056,212818400
2015-01-05,23.532724380493164,24.064287433869833,23.34667824119713,23.984552891373717,257142000
2015-01-06,23.53493309020996,23.79406943566659,23.173912432554356,23.596948452562806,263188400
2015-01-07,23.86495018005371,23.964617509529127,23.632390824888006,23.743133053101715,160423600
2015-01-08,24.781888961791992,24.839475377960017,24.075353197005057,24.19274134644537,237458000
2015-01-09,24.808469772338867,25.083109973520873,24.409797149823067,24.954648607400006,214798000
2015-01-12,24.197179794311523,24.94579673934799,24.09751245276912,24.939152475217497,198603200
2015-01-13,24.412017822265625,24.983448143293007,24.121873715993303,24.680013820160088,268367600
2015-01-14,24.31899070739746,24.47181381263504,24.03106027700955,24.150662070103355,195826400
2015-01-15,23.65896987915039,24.376579054271453,23.623533244347932,24.363290527444573,240056000
2015-01-16,23.475135803222656,23.82729694872675,23.300162889264197,23.7054798283151,314053200
2015-01-20,24.079788208007812,24.135159317135944,23.58809248858328,23.884880822409823,199599600
2015-01-21,24.263620376586914,24.598060654669688,23.98011888215598,24.13072836459436,194303600
2015-01-22,24.894847869873047,24.910351710886655,24.301269587107605,24.42087137055198,215185600
2015-01-23,25.023311614990234,25.19385388237781,24.702158177998953,24.872702135178624,185859200
2015-01-26,25.049890518188477,25.32896139344122,24.983446198227874,25.191640428521755,222460000
2015-01-27,24.17281150817871,24.912570412240157,24.148448084734664,24.89928019685748,382274800
2015-01-28,25.539369583129883,26.161741992686807,25.539369583129883,26.05321340320937,585908400
2015-01-29,26.334495544433594,26.398726223321972,25.59473676843629,25.763065385875084,337745600
2015-01-30,25.94911003112793,26.57812484127135,25.880448726229645,26.223750181346066,334982000
2015-02-02,26.27469825744629,26.394300056676855,25.709913954726144,26.146238567717603,250956400
2015-02-03,26.279132843017578,26.376584861276278,26.048788790219216,26.245909834382662,207662800
2015-02-04,26.480676651000977,26.6910878633719,26.203821126664508,26.2459037070971,280598800
2015-02-05,26.669681549072266,26.734165723731444,26.51625362672937,26.687468941440304,168984800
2015-02-06,26.44510269165039,26.738615912814105,26.338369840108527,26.68747269934462,174826400
2015-02-09,26.620769500732422,26.64745144462894,26.333926728615506,26.360610368973358,155559200
2015-02-10,27.132186889648438,27.16109458407621,26.71860158755748,26.72082395138966,248034000
2015-02-11,27.76813316345215,27.777027708402922,27.238920462338385,27.29895652017989,294247200
2015-02-12,28.119462966918945,28.34626964549883,27.921563986537944,28.030519204661367,297898000
2015-02-13,28.257328033447266,28.301799069729444,27.939355204291964,28.301799069729444,217088800
2015-02-17,28.42409896850586,28.65757616660402,28.2217518372926,28.348496165741523,252609600
2015-02-18,28.621994018554688,28.635334989242327,28.339597698284383,28.379622306808475,179566800
2015-02-19,28.561954498291016,28.690922861865086,28.535272558559186,28.568624983223973,149449600
2015-02-20,28.795429229736328,28.795429229736328,28.4730100443584,28.59975264035525,195793600
2015-02-23,29.573678970336914,29.573678970336914,28.831002433052117,28.911051624628524,283896400
2015-02-24,29.38912582397461,29.707100278847857,29.16676729911174,29.560342838137128,276912400
2015-02-25,28.637557983398438,29.26238839870181,28.495248638062286,29.253492156099437,298846800
2015-02-26,29.000001907348633,29.10006257703535,28.152816368187036,28.637556382320206,365150000
2015-02-27,28.564180374145508,29.033357042942402,28.515261222485382,28.90661104284422,248059200
2015-03-02,28.70426368713379,28.968870897881935,28.528601929913908,28.739841868545096,192386800
