Date,Close,High,Low,Open,Volume,Return,Target_Return,Target_Class,Ticker
2015-01-05,23.532726287841797,24.064289384302135,23.346680133466553,23.98455483534346,257142000,-0.02817130721982941,9.377589069670123e-05,1,AAPL
2015-01-06,23.53493309020996,23.79406943566659,23.173912432554356,23.596948452562806,263188400,9.377589069670123e-05,0.014022273778367511,1,AAPL
2015-01-07,23.864946365356445,23.96461367890052,23.632387047364233,23.74312925787633,160423600,0.014022273778367511,0.03842231183322076,1,AAPL
2015-01-08,24.781892776489258,24.83947920152161,24.07535690294467,24.19274507045464,237458000,0.03842231183322076,0.0010724360761831253,1,AAPL
2015-01-09,24.808469772338867,25.083109973520873,24.409797149823067,24.954648607400006,214798000,0.0010724360761831253,-0.024640451063110635,0,AAPL
2015-01-12,24.19717788696289,24.94579477298944,24.097510553276788,24.939150509382685,198603200,-0.024640451063110635,0.008878561029268539,1,AAPL
2015-01-13,24.41201400756836,24.983444239302276,24.121869946634853,24.680009963584943,268367600,0.008878561029268539,-0.003810866630528209,0,AAPL
2015-01-14,24.31898307800293,24.47180613529659,24.031052737945036,24.150654493517166,195826400,-0.003810866630528209,-0.027140070733279953,0,AAPL
2015-01-15,23.658964157104492,24.376573158668013,23.623527530872572,24.36328463505503,240056000,-0.027140070733279953,-0.007769520927376372,0,AAPL
2015-01-16,23.47514533996582,23.82730662853492,23.300172354924843,23.705489458635224,314053200,-0.007769520927376372,0.025756806470596416,1,AAPL
2015-01-20,24.079790115356445,24.135161228870494,23.58809435698492,23.884882714319932,199599600,0.025756806470596416,0.007634372020979496,1,AAPL
2015-01-21,24.26362419128418,24.598064521947254,23.980122652281484,24.130732158398505,194303600,0.007634372020979496,0.026015462309274984,1,AAPL
2015-01-22,24.894853591918945,24.91035743649609,24.301275172720366,24.42087698365504,215185600,0.026015462309274984,0.005159870006856471,1,AAPL
2015-01-23,25.02330780029297,25.193850041682097,24.702154412260157,24.87269834344113,185859200,0.005159870006856471,0.0010622420808237276,1,AAPL
2015-01-26,25.049888610839844,25.32895946484357,24.983444295938444,25.191638510380002,222460000,0.0010622420808237276,-0.03501313754077784,0,AAPL
2015-01-27,24.172813415527344,24.91257237795925,24.14844999016091,24.899282161527914,382274800,-0.03501313754077784,0.05653269384754789,1,AAPL
2015-01-28,25.53936767578125,26.161740038857733,25.53936767578125,26.053211457485503,585908400,0.05653269384754789,0.031133793737169624,1,AAPL
2015-01-29,26.334505081176758,26.39873578332556,25.594746037284086,25.763074715681203,337745600,0.031133793737169624,-0.014634748728259428,0,AAPL
2015-01-30,25.949106216430664,26.57812093410459,25.88044492162606,26.223746326274814,334982000,-0.014634748728259428,0.012547258119465887,1,AAPL
2015-02-02,26.274696350097656,26.39429814064602,25.709912088376672,26.146236669694193,250956400,0.012547258119465887,0.0001687052121779331,1,AAPL
2015-02-03,26.279129028320312,26.376581032432806,26.048785008958852,26.24590602450807,207662800,0.0001687052121779331,0.007669856912176032,1,AAPL
2015-02-04,26.48068618774414,26.6910974758925,26.203830563701008,26.245913159289206,280598800,0.007669856912176032,0.007137246168222866,1,AAPL
2015-02-05,26.66968536376953,26.7341695476522,26.51625741948107,26.687472758681785,168984800,0.007137246168222866,-0.008420968466799739,0,AAPL
2015-02-06,26.445100784301758,26.73861398429588,26.33836794045799,26.687470774515095,174826400,-0.008420968466799739,0.00664269765938319,1,AAPL
2015-02-09,26.62076759338379,26.647449535368576,26.33392484181884,26.36060848026484,155559200,0.00664269765938319,0.019211720269236565,1,AAPL
2015-02-10,27.132198333740234,27.16110604036099,26.718612857203027,26.72083522197258,248034000,0.019211720269236565,0.023438452322889214,1,AAPL
2015-02-11,27.76813507080078,27.77702961636251,27.238922333336244,27.29895839530153,294247200,0.023438452322889214,0.012652058934643051,1,AAPL
2015-02-12,28.11945915222168,28.34626580003288,27.92156019868773,28.030515402030247,297898000,0.012652058934643051,0.004902767099231209,1,AAPL
2015-02-13,28.257322311401367,28.30179333867826,27.93934954663485,28.30179333867826,217088800,0.004902767099231209,0.005901731187531567,1,AAPL
