Date,Close,High,Low,Open,Volume,Return,Target_Return,Target_Class
2015-01-05,23.53272247314453,24.064285483437537,23.346676348927705,23.984550947403974,257142000,-0.028171311657802067,9.410010954846726e-05,1
2015-01-06,23.534936904907227,23.794073292366384,23.173916188735014,23.59695227731193,263188400,9.410010954846726e-05,0.014022190462258832,1
2015-01-07,23.864948272705078,23.964615594214823,23.632388936126123,23.743131155489024,160423600,0.014022190462258832,0.03842222883981328,1
2015-01-08,24.781892776489258,24.83947920152161,24.07535690294467,24.19274507045464,237458000,0.03842222883981328,0.0010726669724245852,1
2015-01-09,24.808475494384766,25.08311575891223,24.40980277991557,24.95465436316189,214798000,0.0010726669724245852,-0.024640676028651498,0
2015-01-12,24.19717788696289,24.94579477298944,24.097510553276788,24.939150509382685,198603200,-0.024640676028651498,0.008878718679771636,1
2015-01-13,24.412017822265625,24.983448143293007,24.121873715993303,24.680013820160088,268367600,0.008878718679771636,-0.003810631640399853,0
2015-01-14,24.318992614746094,24.471815731969652,24.031062161775676,24.1506639642499,195826400,-0.003810631640399853,-0.027140138520658108,0
2015-01-15,23.658971786499023,24.3765810194726,23.62353514883972,24.363292491574416,240056000,-0.027140138520658108,-0.007770485842802932,0
2015-01-16,23.475130081176758,23.827291140841854,23.30015720986781,23.70547405012303,314053200,-0.007770485842802932,0.02575722946125958,1
2015-01-20,24.079784393310547,24.13515549366684,23.58808875177998,23.8848770385896,199599600,0.02575722946125958,0.007634294625585181,1
2015-01-21,24.26361656188965,24.598056787392125,23.98011511203048,24.130724570790218,194303600,0.007634294625585181,0.026015706317751963,1
2015-01-22,24.894851684570312,24.91035552795961,24.301273310849446,24.420875112620685,215185600,0.026015706317751963,0.0051601768669373715,1
2015-01-23,25.023313522338867,25.19385580272566,24.702160060868348,24.87270403104737,185859200,0.0051601768669373715,0.0010619369464648365,1
2015-01-26,25.04988670349121,25.328957536245927,24.983442393649014,25.191636592238247,222460000,0.0010619369464648365,-0.03501306406474203,0
2015-01-27,24.172813415527344,24.91257237795925,24.14844999016091,24.899282161527914,382274800,-0.03501306406474203,0.056532930561653094,1
2015-01-28,25.53937339782715,26.161745900344954,25.53937339782715,26.053217294657106,585908400,0.056532930561653094,0.031133338665676025,1
2015-01-29,26.33449935913086,26.398730047323408,25.59474047597541,25.76306911779753,337745600,0.031133338665676025,-0.014634244913869665,0
2015-01-30,25.949113845825195,26.57812874843811,25.880452530833228,26.22375403641732,334982000,-0.014634244913869665,0.012546960416717434,1
2015-02-02,26.274696350097656,26.39429814064602,25.709912088376672,26.146236669694193,250956400,0.012546960416717434,0.0001687052121779331,1
2015-02-03,26.279129028320312,26.376581032432806,26.048785008958852,26.24590602450807,207662800,0.0001687052121779331,0.007669566590738031,1
2015-02-04,26.48067855834961,26.691089785876024,26.20382301407181,26.24590559753552,280598800,0.007669566590738031,0.007137320252483814,1
2015-02-05,26.669679641723633,26.734163811771065,26.516251730353517,26.687467032819562,168984800,0.007137320252483814,-0.008420755721059714,0
2015-02-06,26.445100784301758,26.73861398429588,26.33836794045799,26.687470774515095,174826400,-0.008420755721059714,0.0066423370351886835,1
2015-02-09,26.620758056640625,26.64743998906675,26.33391540783551,26.360599036722242,155559200,0.0066423370351886835,0.01921158385388666,1
2015-02-10,27.132184982299805,27.161092674695414,26.718599709283218,26.720822072959173,248034000,0.01921158385388666,0.02343902624372074,1
